tNumRatings,tFname,contentType,institution_name,tSid,tDept,rating_class,tLname,tid,categoryType,tMiddlename,overall_rating
15,Sylvia,TEACHER,University of California Berkeley,1072,Asian Studies,average,Tiwon,131006,PROFESSOR,,2.5
11,Robert,TEACHER,University of California Berkeley,1072,Biology,average,Tjian,244349,PROFESSOR,,2.6
7,Soraya,TEACHER,University of California Berkeley,1072,French,good,Tlatli,619145,PROFESSOR,,3.7
0,Diane,TEACHER,University of California Berkeley,1072,Anthropology,zero,Tober,2170389,PROFESSOR,,N/A
7,Stephen,TEACHER,University of California Berkeley,1072,Architecture,good,Tobriner,558066,PROFESSOR,,4.1
1,Peter,TEACHER,University of California Berkeley,1072,Anthropology,good,Tokofsky,477694,PROFESSOR,,5.0
4,Stephen,TEACHER,University of California Berkeley,1072,Writing,good,Tollefson,599319,PROFESSOR,,4.8
2,Rana,TEACHER,University of California Berkeley,1072,Urban Design & Development,average,Tomaira,1336437,PROFESSOR,,2.8
13,Miwako,TEACHER,University of California Berkeley,1072,Japanese,good,Tomizuka,717942,PROFESSOR,,4.6
1,Masayoshi,TEACHER,University of California Berkeley,1072,Mechanical Engineering,good,Tomizuka,1102742,PROFESSOR,,5.0
1,Christopher,TEACHER,University of California Berkeley,1072,Legal Studies,good,Tomlins,2256582,PROFESSOR,,5.0
4,Iris,TEACHER,University of California Berkeley,1072,Civil Engineering,average,Tommelein,779178,PROFESSOR,,3.0
2,Christopher,TEACHER,University of California Berkeley,1072,Education,good,Tompkins,952904,PROFESSOR,,5.0
19,Benson,TEACHER,University of California Berkeley,1072,Engineering,good,Tongue,547158,PROFESSOR,,4.5
11,F. Dean,TEACHER,University of California Berkeley,1072,Chemistry,good,Toste,66845,PROFESSOR,,3.7
3,Gergo,TEACHER,University of California Berkeley,1072,German,good,Toth,994019,PROFESSOR,,4.5
5,Fouzieyaha,TEACHER,University of California Berkeley,1072,Women's Studies,poor,Towghi,1104068,PROFESSOR,,1.7
1,Christian,TEACHER,University of California Berkeley,1072,Agriculture,poor,Traeger,1707487,PROFESSOR,,1.0
82,Kenneth E.,TEACHER,University of California Berkeley,1072,Economics,good,Train,154403,PROFESSOR,,4.2
0,K,TEACHER,University of California Berkeley,1072,Economics,zero,Traine,1307678,PROFESSOR,,N/A
32,Bac,TEACHER,University of California Berkeley,1072,Languages,good,Tran,101789,PROFESSOR,,4.6
10,Hanh,TEACHER,University of California Berkeley,1072,Languages,good,Tran,890671,PROFESSOR,,3.8
9,Dirk,TEACHER,University of California Berkeley,1072,Chemistry,average,Trauner,333220,PROFESSOR,,3.2
4,Manuela,TEACHER,University of California Berkeley,1072,Peace  Conflict Studies,average,Travaglianti,2022970,PROFESSOR,,3.0
3,Bharat,TEACHER,University of California Berkeley,1072,Economics,average,Trehan,618560,PROFESSOR,,3.2
1,Jennifer,TEACHER,University of California Berkeley,1072,Psychology,good,Treuting,848055,PROFESSOR,,4.0
1,Lisa,TEACHER,University of California Berkeley,1072,Art History,good,Trever,2219531,PROFESSOR,,4.0
2,Luca,TEACHER,University of California Berkeley,1072,Not Specified,good,Trevisan,991205,PROFESSOR,,3.5
26,Ruth,TEACHER,University of California Berkeley,1072,Anthropology,poor,Tringham,285881,PROFESSOR,,2.1
52,Carolyn,TEACHER,University of California Berkeley,1072,Geography,good,Trist,266407,PROFESSOR,,4.3
3,Rachel,TEACHER,University of California Berkeley,1072,English,good,Trocchio,1656310,PROFESSOR,,5.0
3,Joshua,TEACHER,University of California Berkeley,1072,Ethnic Studies,good,Troncoso,1595820,PROFESSOR,,3.7
6,Gabriel,TEACHER,University of California Berkeley,1072,German,good,Trop,1068884,PROFESSOR,,5.0
8,Christine,TEACHER,University of California Berkeley,1072,Political Science,good,Trost,539359,PROFESSOR,,4.4
2,George,TEACHER,University of California Berkeley,1072,Philosophy,good,Tsai,1563835,PROFESSOR,,4.8
4,Chen-Hui,TEACHER,University of California Berkeley,1072,Chinese,good,Tsai,1717759,PROFESSOR,,5.0
8,David,TEACHER,University of California Berkeley,1072,Electrical Engineering,poor,Tse,603924,PROFESSOR,,2.2
2,Yu-Heng,TEACHER,University of California Berkeley,1072,Civil Engineering,poor,Tseng,624624,PROFESSOR,,1.5
6,Neil,TEACHER,University of California Berkeley,1072,Environ. Sci. Policy & Mgmt.,good,Tsutsui,1631285,PROFESSOR,,4.8
2,Michelle,TEACHER,University of California Berkeley,1072,Art,good,Tsutsui,1740094,PROFESSOR,,5.0
0,Xuemin,TEACHER,University of California Berkeley,1072,Mathematics,zero,Tu,1091323,PROFESSOR,,N/A
0,Jennifer,TEACHER,University of California Berkeley,1072,City  Regional Planning,zero,Tucker,2023574,PROFESSOR,,N/A
4,C. Z.,TEACHER,University of California Berkeley,1072,Sociology,good,Tugal,1036946,PROFESSOR,,4.0
14,Cihan,TEACHER,University of California Berkeley,1072,Sociology,average,Tugal,1518934,PROFESSOR,,3.1
